topic,advice,aug_type
Тайны,"🔮Открой глаза, и ты закроешь тысячу проблем.",paraphrase
Что приготовить,🔮Не забывай добавить немного магии в каждый шаг.,original
Что приготовить,🔮Не забывай добавить немного волшебства в каждый день.,paraphrase
Дети,"🔮Ответы на твои детские вопросы порой заманчивы, но лучше подойти к делу серьёзно.",original
Дети,"🔮Ответы на твои детские вопросы могут быть очень привлекательными, но серьёзнее относиться к делу всегда лучше.",paraphrase
Дети,"🔮Ответы на твои детские вопросы могут быть очень привлекательны, но серьёзнее подходить к делу будет лучше.",paraphrase
Здоровье,"🔮Отдохнуть, даже если это кажется неважным, имеет решающее значение для здоровья.",original
Здоровье,"🔮Даже если кажется, что передохнуть не нужно, это имеет решающее значение для вашего здоровья.",paraphrase
Здоровье,"🔮Отдохнуть, даже если это кажется неважным, имеет решающее значение для здоровья.",with_context
Еда,"🔮Еда — это не только пища, но и приключение.",original
Еда,"🔮Найдите еду, которая символизирует вашу жизненную силу.",alternative
Еда,"🔮Еда — это не только пища, но и приключение, которым можно наслаждаться на всех уровнях, от простых блюд до сложных рецептов.",with_context
Зрелость,🔮Взгляни на мир сквозь призму юмора.,original
Дети,🔮Дети — тени великого древа познаний.,original
Дети,🔮Ребёнок — это след тени великого дерева знаний.,paraphrase
Дети,🔮Ребёнок — это тень великого дерева знаний.,paraphrase
День рождения,🔮Наслаждайся красотой своего рождения.,original
Мечты,"🔮Чтобы достичь священного истинного знания, ищи творчество в своём внутреннем мире.",original
Мечты,"🔮Мечты являются мощным инструментом для самопознания и самовыражения.",with_context
Карьера,"🔮Открой для себя тайны своей души, и твоя карьера найдёт тебя сама.",original
Карьера,"🔮Открой для себя тайны своего внутреннего мира, и твоя карьера найдёт тебя сама.",paraphrase
Карьера,🔮Прислушивайся к советам.,original
Карьера,🔮Прислушайся к советам.,paraphrase
Карьера,"🔮Прислушайся к советам более опытных коллег.",with_context
Путешествия,🔮Соглашайся на любое путешествие.,original
Путешествия,"🔮Путешествие — это путь к самопознанию, где каждый шаг открывает новую страницу вашей жизни.",alternative
Путешествия,"🔮Путешествия могут стать мощным источником личностного роста и самоопределения.",with_context
Путешествия,🔮Соглашайся на любое приключение.,paraphrase
День рождения,"🔮Сегодня лучшее время для приобретения нового друга, заведи собаку.",original
День рождения,🔮Сегодня лучшее время для приобретения нового друга.🐶,paraphrase
Зрелость,🔮Возьми лист бумаги и ручку. И рисуй.,original
Зрелость,🔮Возьми листок бумаги и ручку. И просто рисуй.,paraphrase
Зрелость,"🔮Возьми лист бумаги и ручку. И рисуй. Это поможет отвлечься от мыслей и эмоций, которые могут мешать.",with_context
Зрелость,"🔮Зрелость — это не только возраст, но и глубокое знакомство с самим собой, с окружающим миром и реальностью.",alternative
Сложное решение,"🔮Выбирай то, что тебе дорого.",original
Сложное решение,"🔮В сложном решении, особенно в ситуациях, где важны эмоциональные или этические оценки, выбирай то, что тебе дорого.",with_context
Сложное решение,"🔮В процессе принятия сложного решения, когда важно учитывать множество факторов и альтернатив, нужно опираться на свои собственные ценности и приоритеты. Выбирай то, что действительно дорого тебе.",with_context
Сложное решение,"🔮Следуй своему сердцу.",alternative
Здоровье,🔮Не забывай отдыхать.,original
Здоровье,"🔮Не забывай отдыхать. Здоровье неразрывно связано с восстановлением и релаксацией.",with_context
Здоровье,🔮Не забудь отдохнуть.,paraphrase
Здоровье,🔮Не забывай отдохнуть.,paraphrase
Деньги,"🔮Открой банковское окно, деньги придут.",original
Деньги,"🔮Открой входную дверь, и деньги начнут течь.",paraphrase
Деньги,"🔮Сигналы и знаки, которые мы получаем, должны быть прозрачными и соразмерными нашему намерению.",with_context
Работа,"🔮Пойми, что ты делаешь лучше других, и ты найдёшь свое место среди звёзд.",original
Работа,"🔮Узнай, что умеешь делать лучше других, и ты найдешь свое место среди звёзд.",paraphrase
Работа,"🔮Возможно, работа, которую ты выбрал, лишь часть карьерного пути, который тебе предстоит пройти.",alternative
Выходные,🔮Отдохнуть — значит не забыть пробудиться.,original
Выходные,🔮Отдохнуть — значит не забыть проснуться.,paraphrase
Выходные,"🔮Отдохнуть — значит не забыть о том, что ты проснулся.",paraphrase
Тайны,"🔮Открой глаза широко, и ты увидишь тайную информацию, которую не ждал.",original
Тайны,"🔮Загадочный огонь. Возможно, он знает твои тайны.",alternative
Деньги,"🔮Деньги — это всего лишь инструмент, не стоит их презирать, но и обожать не надо.",original
Деньги,"🔮Деньги — это инструменты, которые могут быть полезными для осуществления нашей мечты, но чрезмерное преклонение перед ними не несёт ничего хорошего.",with_context
Деньги," 🔮Деньги — лишь один из инструментов, которым мы располагаем, не стоит пренебрегать их значением, но и не нужно излишне восхищаться.",paraphrase
Деньги,"🔮Деньги — это средство, а не цель. Избыток денег может быть не лучше, чем их недостаток.",original
Деньги,"🔮Деньги — это инструмент, а не конечная цель. Превышение денежных средств не всегда лучше, чем их недостаток.",paraphrase
Деньги,"🔮Благополучие и удача в делах зависят не столько от наличия больших денег, сколько от умелого их использования.",alternative
Деньги,"🔮Деньги — это инструмент, а не конечная цель. Переизбыток денег может оказаться даже хуже, чем их дефицит.",paraphrase
Дети,🔮Не бойся сказать глупость.,original
Деньги,🔮Пусть деньги тебя слушаются.,original
Деньги,"🔮Выбери свою дорогу в мире финансов, не позволяя страхам и предрассудкам тебе мешать.",alternative
Здоровье,🔮Открой глаза и серьёзно относись к своему здоровью.,original
Выходные,"🔮Отправляйся в путь, чтобы найти отдых и радость каждый день.",original
Выходные,"🔮Пусть твоя жизнь станет игрой, в которой каждый день будет полон радости и отдыха.",paraphrase
Выходные,"🔮Пусть твоя жизнь будет похожа на книгу, где каждый день открываешь для себя новые страницы радости и покоя.",paraphrase
Здоровье,"🔮Не забывай, что наша сила не бесконечна. Успевай восстанавливаться.",original
Здоровье,"🔮Не забывай, что сила нашего потенциала ограничена. Успевай возвращать силу.",paraphrase
Здоровье,🔮Отдохнуть — это значит быть здоровым.,original
Здоровье,🔮Отдых — это значит быть здоровым и активным.,paraphrase
Здоровье,"🔮Здоровье — это ключ к гармоничному и продуктивному существованию человека. Отдых способствует физическому восстановлению и положительно влияет на психологическое состояние.",with_context
Здоровье,🔮Ищи ответы в самых маленьких вещах.,original
Здоровье,"🔮Ищи ответы в мелочах жизни.",with_context
Путешествия,"🔮Отправляйся в путь, так как ожидание не приносит смысла.",original
Путешествия,"🔮Отправляясь в путешествие, не жди идеальных условий, их никогда не будет достаточно.",with_context
Сложное решение,🔮Не заблудись в толпе мнений.,original
Сложное решение,🔮Не теряйся в море мнений.,paraphrase
Путешествия,"🔮Открой путеводитель, но лучше — карту.",original
Путешествия,"🔮Путешествие — это не только путь к далеким краям, но и путь к самому себе. Каждый шаг заставляет нас расширять границы нашего знания, чувств и воображения.",alternative
Здоровье,🔮Отдохнуть после работы — это значит заботиться о своём здоровье.,original
Здоровье,"🔮Отдохнуть после работы — это значит заботиться о своём здоровье, поскольку позволяет снять стресс и улучшить работоспособность.",with_context
Здоровье,"🔮Отдых после нагрузки — это значит заботиться о собственном здоровье и благополучии.",paraphrase
